"","ymd","ym","year","code","addr_1","aptNm","jusoJibun","price","conYear","area","floor","py","cnt"
"4510",2021-01-09,2021-01-01,"2021","11350","서울_노원","상계주공16","서울특별시 노원구 상계동 624 상계주공16",58000,1988,59,14,3244,1
"4511",2021-01-09,2021-01-01,"2021","11350","서울_노원","청암2단지","서울특별시 노원구 상계동 1276 청암2단지",45000,2001,50,3,2970,1
"4512",2021-01-09,2021-01-01,"2021","11350","서울_노원","우림루미아트1","서울특별시 노원구 상계동 1306 우림루미아트1",72500,2004,85,3,2815,1
"4513",2021-01-09,2021-01-01,"2021","11350","서울_노원","상계주공3","서울특별시 노원구 상계동 730-2 상계주공3",56700,1988,37,5,5057,1
"4514",2021-01-09,2021-01-01,"2021","11350","서울_노원","미도","서울특별시 노원구 상계동 766-1 미도",85000,1988,88,13,3187,1
"4515",2021-01-09,2021-01-01,"2021","11350","서울_노원","상계주공10","서울특별시 노원구 상계동 666 상계주공10",68000,1988,59,6,3803,1
"4516",2021-01-09,2021-01-01,"2021","11350","서울_노원","벽산","서울특별시 노원구 상계동 173-1 벽산",36900,1989,47,7,2591,1
"4517",2021-01-09,2021-01-01,"2021","11350","서울_노원","상계주공6","서울특별시 노원구 상계동 720 상계주공6",55000,1988,41,14,4427,1
"4518",2021-01-09,2021-01-01,"2021","11350","서울_노원","상계주공1","서울특별시 노원구 상계동 765 상계주공1",55000,1988,50,11,3630,1
"4519",2021-01-09,2021-01-01,"2021","11350","서울_노원","상계주공1","서울특별시 노원구 상계동 765 상계주공1",47000,1988,32,4,4847,1
"4520",2021-01-09,2021-01-01,"2021","11350","서울_노원","상계주공6","서울특별시 노원구 상계동 720 상계주공6",59000,1988,41,12,4749,1
"4521",2021-01-09,2021-01-01,"2021","11350","서울_노원","은빛2단지","서울특별시 노원구 상계동 1256 은빛2단지",55000,1998,60,3,3025,1
"4522",2021-01-09,2021-01-01,"2021","11350","서울_노원","상계주공12","서울특별시 노원구 상계동 647 상계주공12",70000,1988,67,3,3448,1
"4523",2021-01-09,2021-01-01,"2021","11350","서울_노원","상계주공12","서울특별시 노원구 상계동 647 상계주공12",58000,1988,50,14,3828,1
"4524",2021-01-09,2021-01-01,"2021","11350","서울_노원","상계주공12","서울특별시 노원구 상계동 647 상계주공12",64900,1988,58,12,3693,1
"4525",2021-01-09,2021-01-01,"2021","11350","서울_노원","상계주공2","서울특별시 노원구 상계동 740 상계주공2",64900,1987,59,8,3630,1
"4526",2021-01-09,2021-01-01,"2021","11350","서울_노원","상계주공13","서울특별시 노원구 상계동 637 상계주공13",48000,1989,46,3,3443,1
"4527",2021-01-10,2021-01-01,"2021","11350","서울_노원","수락리버시티3단지","서울특별시 노원구 상계동 1312 수락리버시티3단지",72800,2009,85,13,2826,1
"4528",2021-01-10,2021-01-01,"2021","11350","서울_노원","상계주공14","서울특별시 노원구 상계동 626 상계주공14",58850,1989,50,5,3884,1
"4529",2021-01-10,2021-01-01,"2021","11350","서울_노원","상계주공13","서울특별시 노원구 상계동 637 상계주공13",40300,1989,46,10,2891,1
"4530",2021-01-11,2021-01-01,"2021","11350","서울_노원","수락파크빌","서울특별시 노원구 상계동 1269 수락파크빌",89000,2001,115,11,2554,1
